1,커피를 마신다,drink coffee 
2,커피를 버린다,throw away coffee 
3,커피를 만들다,make coffee 
4,커피를 삽니다,buy coffee 
5,커피를 팝니다,sell coffee 
6,커피를 가지고 갑니다,take coffee 
7,커피를 줍니다,give coffee 
8,커피를 가지고 옵니다,bring coffee 
9,네(니) 커피,your coffee 
10,니 커피 버려,throw away your coffee
11,내 커피,my coffee 
12,내 커피를 사세요,buy my coffee 
13,우리 커피,our coffee 
14,우리 커피를 사세요,buy our coffee 
15,우리 커피를 마시세요,drink our coffee 
16,니 커피 버려,throw away your coffee
17,내 커피 좀 마셔봐,drink my coffee 
18,내 커피를 만들어 주세요,make my coffee 
19,내 커피를 가져와 주세요,bring my coffee 
20,이 커피,this coffee 
21,이 커피를 가져 가세요,take this coffee 
22,걔들 커피,their coffee 
23,이 커피를 가져 오세요,bring this coffee 
24,그들의 커피를 가져가세요,take their coffee 
25,이 커피를 파세요,sell this coffee 
26,이 커피를 채우세요,fill this coffee 
27,쟤 커피,his coffee 
28,이 커피를 가져가세요,take this coffee 
29,이 커피를 버리세요,throw away this coffee
30,그녀의 커피,her coffee 
31,이 커피를 버리세요,throw away this coffee
32,이 물 버리세요,throw away this water 
33,이 커피를 만드세요,make this coffee 
34,이 커피를 사세요,buy this coffee 
35,책,a book
36,이 책,this book 
37,이 책을 읽어,read this book 
38,이 책 가져가,take this book 
39,이 책 팔아,sell this book 
40,이 책 가져와,bring this book 
41,이 책 사봐,buy this book 
42,이 책 사용해,use this book
43,이 책 만들어봐,make this book 
44,가방,a bag 
45,이 가방 사세요,buy this bag 
46,이 가장 파세요,sell this bag 
47,이 가방 쓰세요,use this bag 
48,이 가방 만들어 보세요,make this bag 
49,이 가방 매세요,put on  
50,이 가방 매세요,put on this bag 
51,이 가방 내려 놓으세요,put down this bag 
52,네 가방,your bag 
53,네 가방 매 (짐싸),put on your bag  
54,이 가방 매(매세요),put on this bag
55,네 가방 내려놔,put down your bag 
